"source","target"
"Image","IMAG1"
"Image","IMAG2"
"Image","IMAG3"
"Image","IMAG4"
"Image","IMAG5"
"Expectation","CUEX1"
"Expectation","CUEX2"
"Expectation","CUEX3"
"Quality","PERQ1"
"Quality","PERQ2"
"Quality","PERQ3"
"Quality","PERQ4"
"Quality","PERQ5"
"Quality","PERQ6"
"Quality","PERQ7"
"Value","PERV1"
"Value","PERV2"
"Satisfaction","CUSA1"
"Satisfaction","CUSA2"
"Satisfaction","CUSA3"
"Complaints","CUSCO"
"Loyalty","CUSL1"
"Loyalty","CUSL2"
"Loyalty","CUSL3"
